duration,msg_size,experiment,kind,background
0.06467732,268435456,loopback,ringrong,MPI_Iprobe
0.06472739,268435456,loopback,ringrong,MPI_Iprobe
0.06491933,268435456,loopback,ringrong,MPI_Iprobe
0.07260466,268435456,loopback,ringrong,MPI_Iprobe
0.07270562,268435456,loopback,ringrong,MPI_Iprobe
0.07269519,268435456,loopback,ringrong,MPI_Iprobe
0.07260155,268435456,loopback,ringrong,MPI_Iprobe
0.07271988,268435456,loopback,ringrong,MPI_Iprobe
0.0727156,268435456,loopback,ringrong,MPI_Iprobe
0.06513163,268435456,loopback,ringrong,MPI_Iprobe
0.06503083,268435456,loopback,ringrong,MPI_Iprobe
0.06478884,268435456,loopback,ringrong,MPI_Iprobe
0.06480116,268435456,loopback,ringrong,MPI_Iprobe
0.06492911,268435456,loopback,ringrong,MPI_Iprobe
0.06482155,268435456,loopback,ringrong,MPI_Iprobe
0.06489799,268435456,loopback,ringrong,MPI_Iprobe
0.06494543,268435456,loopback,ringrong,MPI_Iprobe
0.06483306,268435456,loopback,ringrong,MPI_Iprobe
0.07259909,268435456,loopback,ringrong,MPI_Iprobe
0.07278363,268435456,loopback,ringrong,MPI_Iprobe
0.07288956,268435456,loopback,ringrong,MPI_Iprobe
0.07273958,268435456,loopback,ringrong,MPI_Iprobe
0.07282227,268435456,loopback,ringrong,MPI_Iprobe
0.07281523,268435456,loopback,ringrong,MPI_Iprobe
0.07278015,268435456,loopback,ringrong,MPI_Iprobe
0.07268271,268435456,loopback,ringrong,MPI_Iprobe
0.07260099,268435456,loopback,ringrong,MPI_Iprobe
0.07275134,268435456,loopback,ringrong,MPI_Iprobe
0.07263556,268435456,loopback,ringrong,MPI_Iprobe
0.07281581,268435456,loopback,ringrong,MPI_Iprobe
0.07268977,268435456,loopback,ringrong,MPI_Iprobe
0.07275824,268435456,loopback,ringrong,MPI_Iprobe
0.07269185,268435456,loopback,ringrong,MPI_Iprobe
0.07264935,268435456,loopback,ringrong,MPI_Iprobe
0.07261335,268435456,loopback,ringrong,MPI_Iprobe
0.0727249,268435456,loopback,ringrong,MPI_Iprobe
0.07266655,268435456,loopback,ringrong,MPI_Iprobe
0.07274928,268435456,loopback,ringrong,MPI_Iprobe
0.07256952,268435456,loopback,ringrong,MPI_Iprobe
0.07266321,268435456,loopback,ringrong,MPI_Iprobe
0.07262383,268435456,loopback,ringrong,MPI_Iprobe
0.07267629,268435456,loopback,ringrong,MPI_Iprobe
0.07271681,268435456,loopback,ringrong,MPI_Iprobe
0.07281046,268435456,loopback,ringrong,MPI_Iprobe
0.07275782,268435456,loopback,ringrong,MPI_Iprobe
0.07264494,268435456,loopback,ringrong,MPI_Iprobe
0.07281817,268435456,loopback,ringrong,MPI_Iprobe
0.07274743,268435456,loopback,ringrong,MPI_Iprobe
0.07286655,268435456,loopback,ringrong,MPI_Iprobe
0.07270179,268435456,loopback,ringrong,MPI_Iprobe
0.07263079,268435456,loopback,ringrong,MPI_Iprobe
0.07246934,268435456,loopback,ringrong,MPI_Iprobe
0.07276934,268435456,loopback,ringrong,MPI_Iprobe
0.07273845,268435456,loopback,ringrong,MPI_Iprobe
0.07274966,268435456,loopback,ringrong,MPI_Iprobe
0.07258539,268435456,loopback,ringrong,MPI_Iprobe
0.07267324,268435456,loopback,ringrong,MPI_Iprobe
0.07271346,268435456,loopback,ringrong,MPI_Iprobe
0.07257513,268435456,loopback,ringrong,MPI_Iprobe
0.07256541,268435456,loopback,ringrong,MPI_Iprobe
0.07268453,268435456,loopback,ringrong,MPI_Iprobe
0.0725951,268435456,loopback,ringrong,MPI_Iprobe
0.07262168,268435456,loopback,ringrong,MPI_Iprobe
0.07271093,268435456,loopback,ringrong,MPI_Iprobe
0.07243753,268435456,loopback,ringrong,MPI_Iprobe
0.07254145,268435456,loopback,ringrong,MPI_Iprobe
0.0726558,268435456,loopback,ringrong,MPI_Iprobe
0.0727114,268435456,loopback,ringrong,MPI_Iprobe
0.07263163,268435456,loopback,ringrong,MPI_Iprobe
0.07272221,268435456,loopback,ringrong,MPI_Iprobe
0.07248181,268435456,loopback,ringrong,MPI_Iprobe
0.07251496,268435456,loopback,ringrong,MPI_Iprobe
0.07262397,268435456,loopback,ringrong,MPI_Iprobe
0.07261541,268435456,loopback,ringrong,MPI_Iprobe
0.07265024,268435456,loopback,ringrong,MPI_Iprobe
0.07261329,268435456,loopback,ringrong,MPI_Iprobe
0.07262422,268435456,loopback,ringrong,MPI_Iprobe
0.07252249,268435456,loopback,ringrong,MPI_Iprobe
0.07258075,268435456,loopback,ringrong,MPI_Iprobe
0.07269509,268435456,loopback,ringrong,MPI_Iprobe
0.07264573,268435456,loopback,ringrong,MPI_Iprobe
0.07274904,268435456,loopback,ringrong,MPI_Iprobe
0.07253412,268435456,loopback,ringrong,MPI_Iprobe
0.07247093,268435456,loopback,ringrong,MPI_Iprobe
0.07266256,268435456,loopback,ringrong,MPI_Iprobe
0.07260278,268435456,loopback,ringrong,MPI_Iprobe
0.07259599,268435456,loopback,ringrong,MPI_Iprobe
0.07274022,268435456,loopback,ringrong,MPI_Iprobe
0.07261994,268435456,loopback,ringrong,MPI_Iprobe
0.07245708,268435456,loopback,ringrong,MPI_Iprobe
0.07270616,268435456,loopback,ringrong,MPI_Iprobe
0.07258513,268435456,loopback,ringrong,MPI_Iprobe
0.07269159,268435456,loopback,ringrong,MPI_Iprobe
0.06303366,268435456,loopback,ringrong,MPI_Iprobe
0.07315022,268435456,loopback,ringrong,MPI_Iprobe
0.06396209,268435456,loopback,ringrong,MPI_Iprobe
0.07308486,268435456,loopback,ringrong,MPI_Iprobe
0.07282012,268435456,loopback,ringrong,MPI_Iprobe
0.07284967,268435456,loopback,ringrong,MPI_Iprobe
0.07310474,268435456,loopback,ringrong,MPI_Iprobe
0.06524732,268435456,loopback,ringrong,MPI_Iprobe
0.06520293,268435456,loopback,ringrong,MPI_Iprobe
0.0653839,268435456,loopback,ringrong,MPI_Iprobe
0.07338008,268435456,loopback,ringrong,MPI_Iprobe
0.07347879,268435456,loopback,ringrong,MPI_Iprobe
0.07341903,268435456,loopback,ringrong,MPI_Iprobe
0.0732529,268435456,loopback,ringrong,MPI_Iprobe
0.07335626,268435456,loopback,ringrong,MPI_Iprobe
0.07318978,268435456,loopback,ringrong,MPI_Iprobe
0.06589251,268435456,loopback,ringrong,MPI_Iprobe
0.06522833,268435456,loopback,ringrong,MPI_Iprobe
