jobid,intercept,mnk,mn,mk,nk,tvalue_mnk,tvalue_mn,tvalue_mk,tvalue_nk,intercept_residual,mnk_residual,mn_residual,mk_residual,nk_residual,tvalue_mnk_residual,tvalue_mn_residual,tvalue_mk_residual,tvalue_nk_residual,avg_gflops,function,cluster,node,expfile_hash,cpu,start_time,expfile,exp_kind
1965905,0,6.644749665619556e-11,-5.2377074028944686e-11,2.190485878793105e-09,3.032466374512534e-09,645.9336156584678,-1.1399114396822108,47.67276442969548,65.9972549984027,0,4.526022265817644e-13,5.036094738444944e-11,3.900367950921173e-11,7.757926411828222e-11,21.796224261952023,5.4297406840050595,4.205239902267114,8.364324114130564,28.075399104098825,dgemm,dahu,5,798689edd13f67b640a68555df22b18eb565ce914d43d5d45c937dadae7016f0,1,1607273712,exp_random_28.csv,random
1965905,0,7.434293075175244e-11,-2.447741704566296e-11,2.3026247265360416e-09,3.1043782643924665e-09,736.7170965536287,-0.5430593228800035,51.086347162638205,68.8741608266663,0,3.9647704216518607e-13,4.271821538792487e-11,7.146380000577541e-11,1.104884669050214e-10,16.722812161846832,4.033898662249888,6.748356049632126,10.43347140780119,25.216159974673243,dgemm,dahu,6,798689edd13f67b640a68555df22b18eb565ce914d43d5d45c937dadae7016f0,0,1607273712,exp_random_28.csv,random
1965905,0,6.590082437193624e-11,-6.060383351774818e-11,2.1668714017781757e-09,2.927413992751069e-09,578.0620182356881,-1.1901571221333782,42.553701340001574,57.48947567624186,0,6.650139313286043e-13,4.667982849160619e-11,3.606011871775057e-11,6.983841381717221e-11,21.053625522614855,3.308613352734778,2.555900356664862,4.95006764069116,28.348093669399677,dgemm,dahu,6,798689edd13f67b640a68555df22b18eb565ce914d43d5d45c937dadae7016f0,1,1607273712,exp_random_28.csv,random
1965906,0,7.295094595976402e-11,-1.5448604881745245e-10,2.4231210765728005e-09,3.0986271739686832e-09,687.635381653159,-3.184522892361071,49.949394125723444,63.87404717726588,0,4.4180898089138043e-13,3.135188932772513e-11,2.9735309088784124e-11,8.955467293295587e-11,16.833460650639083,2.6123442583186085,2.477645387026844,7.461994816214257,25.568797029138143,dgemm,dahu,5,b0cd667cdccaf3a638c59f5fc8b7d82fcbc985cbbb8fa161727df188c84e8f64,0,1607275765,exp_random_26.csv,random
1965906,0,6.649410865307734e-11,-2.028935168014126e-10,2.303959227231393e-09,3.057276284140103e-09,630.6068887961537,-4.207959337178161,47.7835216006203,63.407123544378926,0,5.164432847658628e-13,4.269971228424736e-11,2.2407061427573578e-11,5.3750783394279725e-11,22.9993268718703,4.1585819295129705,2.1822535975393635,5.2348604841321205,27.94643665985802,dgemm,dahu,5,b0cd667cdccaf3a638c59f5fc8b7d82fcbc985cbbb8fa161727df188c84e8f64,1,1607275765,exp_random_26.csv,random
1965906,0,7.427144121901334e-11,-1.765509145291686e-10,2.4337316607230534e-09,3.1498765729542943e-09,693.1690469095586,-3.603421819571259,49.67270655390437,64.28929582273338,0,5.672239921297348e-13,1.839087584119185e-11,6.264584216135746e-11,6.060740947766707e-11,22.74016448999871,1.6123868392109308,5.492361119964579,5.313645214306721,25.13518987410712,dgemm,dahu,6,b0cd667cdccaf3a638c59f5fc8b7d82fcbc985cbbb8fa161727df188c84e8f64,0,1607275765,exp_random_26.csv,random
1965906,0,6.57328617629271e-11,-1.7306891736449033e-10,2.274564583519151e-09,3.0708508067621856e-09,524.3457369479065,-3.019131995536488,39.679052799262394,53.570011677423246,0,6.746968785497309e-13,4.113026775143626e-11,4.732983354901639e-11,6.013172669178088e-11,20.721062164517402,2.762438842317817,3.1788212852486017,4.038636910240243,28.239524747770048,dgemm,dahu,6,b0cd667cdccaf3a638c59f5fc8b7d82fcbc985cbbb8fa161727df188c84e8f64,1,1607275765,exp_random_26.csv,random
1965908,0,7.725197584150547e-11,-2.894462496098242e-10,2.1295166040931697e-09,3.187126748063766e-09,148.17249977606593,-2.37481032162924,7.043697789371853,10.541903071633659,0,1.5077039524262247e-13,7.2315681095806984e-12,1.4877583428416432e-10,1.920212439527104e-10,1.4717648667531222,0.30196584856456443,2.504473404653996,3.2324611111881945,25.806812074067942,dgemm,dahu,5,cdd305bba8b401fa5861519c5124d6eee74451a4805d910d438ae4845f64cd13,0,1607279199,exp_256_23.csv,256
1965908,0,7.08438469066182e-11,-2.9276135782461626e-10,1.9848951543599223e-09,2.8003282004213276e-09,144.3332915517455,-2.5514151035917987,6.973705824104046,9.838638095208871,0,-4.771436967262496e-14,4.966473996384555e-11,1.3440677993480577e-10,3.0339428008428987e-10,-0.42539053913945335,1.8940428105742038,2.0664337395830197,4.664527913448843,28.192817362973905,dgemm,dahu,5,cdd305bba8b401fa5861519c5124d6eee74451a4805d910d438ae4845f64cd13,1,1607279199,exp_256_23.csv,256
1965908,0,7.823409673590158e-11,-3.0943888184700915e-10,2.1579018026734274e-09,3.53081929658067e-09,150.10137018377597,-2.5396066543204476,7.139732383688708,11.682229859356164,0,1.429826172388844e-13,8.612625029037282e-12,1.1761381229344222e-10,1.7009898381066575e-10,1.3198966853560778,0.3400910670339752,1.8723054216346424,2.707821839909956,25.478320977386694,dgemm,dahu,6,cdd305bba8b401fa5861519c5124d6eee74451a4805d910d438ae4845f64cd13,0,1607279199,exp_256_23.csv,256
1965908,0,7.006319053738677e-11,-2.7875842486660523e-10,1.9799811512741088e-09,2.7839704008323265e-09,140.62203655680304,-2.3932852495064725,6.853086297503158,9.63584395453527,0,1.9922734489753224e-13,-5.464688659041305e-12,1.8202317738286406e-10,2.702300939730938e-10,1.7693569263161062,-0.20760361732220187,2.7877566869250057,4.138680371990833,28.486474267832005,dgemm,dahu,6,cdd305bba8b401fa5861519c5124d6eee74451a4805d910d438ae4845f64cd13,1,1607279199,exp_256_23.csv,256
