node,cpu,kind,expfile,exp_kind,start_time,value,subgroup
6,1,temperature,exp_128_10.csv,128,1607246635.1820512,65.165,
6,1,temperature,exp_128_11.csv,128,1607195087.891945,65.3625,
6,1,temperature,exp_128_12.csv,128,1607264306.2121222,65.2025,
6,1,temperature,exp_128_13.csv,128,1607202050.419397,65.3825,
6,1,temperature,exp_128_14.csv,128,1607208692.4194791,65.29,
6,1,temperature,exp_128_15.csv,128,1607207143.791656,65.215,
6,1,temperature,exp_128_16.csv,128,1607270955.413312,65.305,
6,1,temperature,exp_128_17.csv,128,1607196627.202204,65.1825,
6,1,temperature,exp_128_18.csv,128,1607228223.6975842,65.3175,
6,1,temperature,exp_128_19.csv,128,1607262757.2220411,65.5375,
6,1,temperature,exp_128_20.csv,128,1607299661.611321,65.245,
6,1,temperature,exp_128_21.csv,128,1607295002.6167302,63.31,
6,1,temperature,exp_128_22.csv,128,1607296546.323499,65.2475,
6,1,temperature,exp_128_23.csv,128,1607323839.6529868,64.87,
6,1,temperature,exp_128_24.csv,128,1607316147.5153909,64.9425,
6,1,temperature,exp_128_25.csv,128,1607286287.291698,65.225,
6,1,temperature,exp_128_27.csv,128,1607320761.298947,62.4025,
6,1,temperature,exp_128_28.csv,128,1607309450.1406982,65.0275,
6,1,temperature,exp_256_00.csv,256,1607112470.277094,65.025,
6,1,temperature,exp_256_01.csv,256,1607166747.7772632,64.6725,
6,1,temperature,exp_256_02.csv,256,1607136495.947017,64.59375,
6,1,temperature,exp_256_03.csv,256,1607153404.073059,64.82,
6,1,temperature,exp_256_04.csv,256,1607142652.221477,64.58072916666667,
6,1,temperature,exp_256_05.csv,256,1607151858.696005,64.9175,
6,1,temperature,exp_256_06.csv,256,1607165198.959904,64.595,
6,1,temperature,exp_256_07.csv,256,1607144187.145653,64.6953125,
6,1,temperature,exp_256_08.csv,256,1607190465.901742,62.0875,
6,1,temperature,exp_256_09.csv,256,1607180161.568165,64.43489583333333,
6,1,temperature,exp_256_10.csv,256,1607272491.6219661,64.865,
