jobid,expfile,m,n,k,node,cpu,duration
1965808,exp_128_01.csv,6737,4241,128,5,0,0.27365700000000004
1965808,exp_128_01.csv,1423,10935,128,5,0,0.1503595
1965808,exp_128_01.csv,10679,6834,128,5,0,0.6732264
1965808,exp_128_01.csv,6703,9723,128,5,0,0.6020005
1965808,exp_128_01.csv,13601,1534,128,5,0,0.1955264
1965808,exp_128_01.csv,6361,8600,128,5,0,0.5059477
1965808,exp_128_01.csv,9629,6489,128,5,0,0.5753891999999999
1965808,exp_128_01.csv,10770,2898,128,5,0,0.28960040000000004
1965808,exp_128_01.csv,8471,1538,128,5,0,0.1211662
1965808,exp_128_01.csv,9400,7487,128,5,0,0.6486383000000001
1965808,exp_128_01.csv,11557,3602,128,5,0,0.38536090000000006
1965808,exp_128_01.csv,11620,4924,128,5,0,0.5278304
1965808,exp_128_01.csv,1,1,1,5,0,2.19e-06
1965808,exp_128_01.csv,7941,4599,128,5,0,0.3602866
1965808,exp_128_01.csv,3215,14589,128,5,0,0.4386179
1965808,exp_128_01.csv,4382,1180,128,5,0,0.04880627
1965808,exp_128_01.csv,9099,1710,128,5,0,0.1445048
1965808,exp_128_01.csv,10382,7277,128,5,0,0.6974159000000001
1965808,exp_128_01.csv,10293,6837,128,5,0,0.6504495
1965808,exp_128_01.csv,4685,7212,128,5,0,0.3083807
1965808,exp_128_01.csv,6975,7843,128,5,0,0.5080806999999999
1965808,exp_128_01.csv,6664,3131,128,5,0,0.19411270000000003
1965808,exp_128_01.csv,12785,3256,128,5,0,0.3886666
1965808,exp_128_01.csv,6747,7337,128,5,0,0.45809979999999995
1965808,exp_128_01.csv,1686,13885,128,5,0,0.2241998
1965808,exp_128_01.csv,10341,4787,128,5,0,0.45639940000000007
1965808,exp_128_01.csv,5376,3385,128,5,0,0.1726019
1965808,exp_128_01.csv,1180,4382,128,5,0,0.05034435
1965808,exp_128_01.csv,937,13904,128,5,0,0.13719820000000002
1965808,exp_128_01.csv,3894,6012,128,5,0,0.21717440000000002
1965808,exp_128_01.csv,4420,579,128,5,0,0.02481339
1965808,exp_128_01.csv,972,10742,128,5,0,0.1011429
1965808,exp_128_01.csv,9899,7632,128,5,0,0.7001847
1965808,exp_128_01.csv,1710,9099,128,5,0,0.1478531
1965808,exp_128_01.csv,5177,11582,128,5,0,0.5563944000000001
1965808,exp_128_01.csv,1892,8224,128,5,0,0.1506924
1965808,exp_128_01.csv,2898,10770,128,5,0,0.2919873
1965808,exp_128_01.csv,7645,8525,128,5,0,0.5974647
1965808,exp_128_01.csv,3349,9319,128,5,0,0.29234970000000005
1965808,exp_128_01.csv,8224,1892,128,5,0,0.1477781
1965808,exp_128_01.csv,3385,5376,128,5,0,0.1731279
1965808,exp_128_01.csv,2025,14110,128,5,0,0.2654335
1965808,exp_128_01.csv,2966,1743,128,5,0,0.04903924
1965808,exp_128_01.csv,10812,6750,128,5,0,0.6742268
1965808,exp_128_01.csv,4568,5125,128,5,0,0.21668539999999997
1965808,exp_128_01.csv,12926,5042,128,5,0,0.6132776
1965808,exp_128_01.csv,10164,7693,128,5,0,0.7104269
1965808,exp_128_01.csv,4144,6895,128,5,0,0.266432
1965808,exp_128_01.csv,6834,10679,128,5,0,0.6739649999999999
1965808,exp_128_01.csv,5240,4975,128,5,0,0.24238979999999996
1965808,exp_128_01.csv,5972,10463,128,5,0,0.576624
1965808,exp_128_01.csv,3459,7536,128,5,0,0.23896320000000001
1965808,exp_128_01.csv,6154,5072,128,5,0,0.28939929999999997
1965808,exp_128_01.csv,2158,1186,128,5,0,0.0247368
1965808,exp_128_01.csv,6411,11784,128,5,0,0.7049094
1965808,exp_128_01.csv,9436,5527,128,5,0,0.47423820000000005
1965808,exp_128_01.csv,1538,8471,128,5,0,0.1259149
1965808,exp_128_01.csv,6012,3894,128,5,0,0.2173678
1965808,exp_128_01.csv,567,4513,128,5,0,0.02679156
1965808,exp_128_01.csv,10349,5794,128,5,0,0.5619341999999999
1965808,exp_128_01.csv,6837,10293,128,5,0,0.6552895000000001
1965808,exp_128_01.csv,5547,6091,128,5,0,0.3131567
1965808,exp_128_01.csv,5016,9351,128,5,0,0.4337455
1965808,exp_128_01.csv,1186,2158,128,5,0,0.02514997
1965808,exp_128_01.csv,614,12610,128,5,0,0.08096237
1965808,exp_128_01.csv,14589,3215,128,5,0,0.4342583
1965808,exp_128_01.csv,11725,4222,128,5,0,0.45701220000000004
1965808,exp_128_01.csv,4872,5350,128,5,0,0.24178289999999997
1965808,exp_128_01.csv,4248,9200,128,5,0,0.35731840000000004
1965808,exp_128_01.csv,6020,7363,128,5,0,0.40957659999999996
1965808,exp_128_01.csv,6750,10812,128,5,0,0.6763329
