jobid,expfile,m,n,k,node,cpu,duration
1960066,exp_dgemm_c.csv,8007,4805,234,8,0,0.6302719
1960066,exp_dgemm_c.csv,720,13709,811,8,0,0.6062496999999999
1960066,exp_dgemm_c.csv,4359,516,2519,8,0,0.44116239999999995
1960066,exp_dgemm_c.csv,4757,235,8053,8,0,0.7626443
1960066,exp_dgemm_c.csv,938,1803,3941,8,0,0.522927
1960066,exp_dgemm_c.csv,1386,9703,743,8,0,0.7525144
1960066,exp_dgemm_c.csv,1203,703,1580,8,0,0.1040142
1960066,exp_dgemm_c.csv,1637,2760,1328,8,0,0.4424773
1960066,exp_dgemm_c.csv,370,4780,1131,8,0,0.14688729999999997
1960066,exp_dgemm_c.csv,1797,80,9297,8,0,0.12347029999999999
1960066,exp_dgemm_c.csv,114,6924,9281,8,0,0.7195034
1960066,exp_dgemm_c.csv,2945,6225,418,8,0,0.5272186
1960066,exp_dgemm_c.csv,1476,711,3490,8,0,0.2833468
1960066,exp_dgemm_c.csv,895,289,3895,8,0,0.08276615
1960066,exp_dgemm_c.csv,143,5162,456,8,0,0.03311394
1960066,exp_dgemm_c.csv,1458,2279,1806,8,0,0.45337799999999995
1960066,exp_dgemm_c.csv,259,5162,492,8,0,0.0559251
1960066,exp_dgemm_c.csv,101,1646,2025,8,0,0.03709025
1960066,exp_dgemm_c.csv,3237,1696,1214,8,0,0.4961492
1960066,exp_dgemm_c.csv,8970,720,775,8,0,0.3820607
1960066,exp_dgemm_c.csv,3328,565,179,8,0,0.02625326
1960066,exp_dgemm_c.csv,981,2792,609,8,0,0.12971839999999998
1960066,exp_dgemm_c.csv,3450,919,2311,8,0,0.5610977
1960066,exp_dgemm_c.csv,2121,2074,1820,8,0,0.6054858
1960066,exp_dgemm_c.csv,626,5871,2539,8,0,0.7156279999999999
1960066,exp_dgemm_c.csv,2279,1806,1458,8,0,0.4348747
1960066,exp_dgemm_c.csv,706,2128,2883,8,0,0.3215645
1960066,exp_dgemm_c.csv,611,5806,1505,8,0,0.41160630000000004
1960066,exp_dgemm_c.csv,408,163,9890,8,0,0.06025527
1960066,exp_dgemm_c.csv,4493,978,1744,8,0,0.5785157
1960066,exp_dgemm_c.csv,5969,88,4435,8,0,0.21846620000000003
1960066,exp_dgemm_c.csv,2294,1131,1412,8,0,0.2767027
1960066,exp_dgemm_c.csv,1415,259,2749,8,0,0.08535589
1960066,exp_dgemm_c.csv,794,3440,978,8,0,0.20220729999999998
1960066,exp_dgemm_c.csv,4805,8007,234,8,0,0.6526339
1960066,exp_dgemm_c.csv,3703,12117,119,8,0,0.3999949
1960066,exp_dgemm_c.csv,2938,1872,1153,8,0,0.48038739999999996
1960066,exp_dgemm_c.csv,8053,235,4757,8,0,0.7512525999999999
1960066,exp_dgemm_c.csv,7297,2448,429,8,0,0.5375787
1960066,exp_dgemm_c.csv,340,5656,3637,8,0,0.5373475999999999
1960066,exp_dgemm_c.csv,798,663,11986,8,0,0.5014073
1960066,exp_dgemm_c.csv,13709,720,811,8,0,0.6033592
1960066,exp_dgemm_c.csv,5871,2539,626,8,0,0.6902628000000001
1960066,exp_dgemm_c.csv,7297,429,2448,8,0,0.6053784999999999
1960066,exp_dgemm_c.csv,1412,2294,1131,8,0,0.2778222
1960066,exp_dgemm_c.csv,2731,2063,355,8,0,0.1501501
1960066,exp_dgemm_c.csv,325,5397,951,8,0,0.1316435
1960066,exp_dgemm_c.csv,10636,241,393,8,0,0.07644047
1960066,exp_dgemm_c.csv,1350,1739,4119,8,0,0.728168
