jobid,intercept,mnk,mn,mk,nk,tvalue_mnk,tvalue_mn,tvalue_mk,tvalue_nk,intercept_residual,mnk_residual,mn_residual,mk_residual,nk_residual,tvalue_mnk_residual,tvalue_mn_residual,tvalue_mk_residual,tvalue_nk_residual,avg_gflops,function,cluster,node,expfile_hash,cpu,start_time,expfile,exp_kind
1964863,0.0383145774877451,6.515451656622952e-11,-1.9481706115398086e-09,9.119633789359682e-10,5.899311422418344e-10,171.18346611179857,-9.145632130345856,4.281186427252054,2.7694151514349055,0.0004445878244185842,3.281825201204456e-13,5.776459512929841e-12,9.861223631710758e-12,1.0729543813914933e-10,11.834137538481134,0.3721794180178948,0.6353622775299104,6.913084672924399,28.320691419509572,dgemm,dahu,5,b3bb5b1025201570ab0fd4aeca9486fe420cbf646389a11d64d990ce195876a2,1,1606781552,exp_dgemm_uniform-product_6.csv,uniform product
1964863,0.04238295340686275,7.244168569475037e-11,-2.0991433133991837e-09,8.058553691197539e-10,7.803080841641814e-10,173.1074622714608,-8.96269843088707,3.4407553816017344,3.3316763066652286,0.00038453695225295226,3.1398638051843467e-13,7.668585201608277e-12,1.9288931489871612e-11,6.23087302558392e-11,12.304400287108548,0.536950609570119,1.3506016102254017,4.362827016044151,25.48980070776539,dgemm,dahu,6,b3bb5b1025201570ab0fd4aeca9486fe420cbf646389a11d64d990ce195876a2,0,1606781552,exp_dgemm_uniform-product_6.csv,uniform product
1964863,0.037744406838235295,6.463842190416552e-11,-2.0899879211221673e-09,1.0213115706132107e-09,3.639056308565356e-10,168.51690326266734,-9.735672426968689,4.7575178769571025,1.6951610009527547,0.0004669748529073893,4.5155029638811737e-13,2.8734043234409487e-11,-2.524401166163882e-11,8.628433925961967e-11,11.927083634496526,1.3561081491520963,-1.1913955043627011,4.072204341714497,28.649866152490926,dgemm,dahu,6,b3bb5b1025201570ab0fd4aeca9486fe420cbf646389a11d64d990ce195876a2,1,1606781552,exp_dgemm_uniform-product_6.csv,uniform product
1964863,0.04007951767156863,6.888987427447747e-11,-2.1621884752609328e-09,9.917946819299043e-10,2.562698250045672e-10,173.47469488064195,-9.728451995727145,4.462435658671314,1.1530487369790736,0.0005732007658832059,3.106964862816906e-13,8.098515656694861e-11,3.71703056730369e-11,1.6169172195556674e-10,9.269903885692772,4.3173153052524915,1.9815474388871974,8.619778926454458,26.934002685196745,dgemm,dahu,7,b3bb5b1025201570ab0fd4aeca9486fe420cbf646389a11d64d990ce195876a2,0,1606781552,exp_dgemm_uniform-product_6.csv,uniform product
1964863,0.03720200904411764,6.285185178951281e-11,-1.847104184309695e-09,8.396594904089221e-10,8.745660102162399e-10,171.41950515111955,-9.001253719767178,4.091803903419619,4.26190932786116,0.00037501139719084376,3.016584405437033e-13,1.8056194010246723e-11,3.4798855059443774e-12,3.9733573201568654e-11,15.396519626100794,1.6466554761187426,0.3173521796109263,3.62354911898922,29.244852801883944,dgemm,dahu,7,b3bb5b1025201570ab0fd4aeca9486fe420cbf646389a11d64d990ce195876a2,1,1606781552,exp_dgemm_uniform-product_6.csv,uniform product
1964863,0.04141680367647058,7.074809315849709e-11,-2.147986529288461e-09,9.643270158969783e-10,6.116981511327954e-10,171.12223873347156,-9.283093392390157,4.167594920784704,2.6436157710910613,0.000417249946056835,3.530265441101021e-13,4.465641152623157e-11,-1.2148839631929424e-11,9.662698508720217e-11,13.109867135467852,2.963085629873583,-0.8061116176310578,6.411487649465841,26.116425365683376,dgemm,dahu,8,b3bb5b1025201570ab0fd4aeca9486fe420cbf646389a11d64d990ce195876a2,0,1606781552,exp_dgemm_uniform-product_6.csv,uniform product
1964863,0.03893216468137255,6.613776305040882e-11,-1.9846501011144937e-09,1.1345460125788305e-09,4.97189622182382e-10,166.74806541399226,-8.940559642085228,5.11096454052776,2.239766832476516,0.0004244770008014124,4.976374648826708e-13,-4.3340735996908045e-12,-2.004894323611929e-11,2.4384009084653177e-11,15.451049729328986,-0.24044217913323498,-1.1122588230515882,1.3527560493520172,27.86786484556772,dgemm,dahu,8,b3bb5b1025201570ab0fd4aeca9486fe420cbf646389a11d64d990ce195876a2,1,1606781552,exp_dgemm_uniform-product_6.csv,uniform product
1964865,0.0054060469625,7.282717433972329e-11,-4.1915406781028736e-10,2.3775435955353555e-09,2.52162086385777e-09,540.5629079635655,-6.261001065932261,35.51391750463631,37.66603291951409,6.819643310828854e-05,4.0101212810628357e-13,4.609735683945093e-11,-1.8316249554356808e-11,1.4722293879749324e-10,15.975572151744377,3.69566202922995,-1.4684284010402429,11.80298095269319,25.76260863381583,dgemm,dahu,5,8f40119f61a9d7274ce81dee660b80dc88b96a1156e48030123923857ca34da5,0,1606785230,exp_dgemm_uniform-product_7.csv,uniform product
1964865,0.0050382968625000005,6.654164817053709e-11,-3.4975900612698876e-10,2.321046950617787e-09,2.36885261898184e-09,494.56140001149384,-5.2313391893650785,34.71585766318943,35.43088618856172,5.464262514804842e-05,4.0249537909571983e-13,7.77766469985221e-12,-1.2016725830113295e-11,7.328512992506717e-11,18.019621039874306,0.7007309198121621,-1.082650341589791,6.6026446861256325,28.106763647046726,dgemm,dahu,5,8f40119f61a9d7274ce81dee660b80dc88b96a1156e48030123923857ca34da5,1,1606785230,exp_dgemm_uniform-product_7.csv,uniform product
1964865,0.005488087475,7.440004160647038e-11,-3.939296484239488e-10,2.3836638584703787e-09,2.4562469845542268e-09,558.4551704109934,-5.950467894465264,36.006214098818965,37.10261180122557,6.54894897003279e-05,3.9810827589783107e-13,3.146900482331019e-11,-1.6199773286383626e-14,1.1249995559094191e-10,16.316133350034118,2.5954720676464413,-0.0013361102234751546,9.278669407793513,25.26248338508996,dgemm,dahu,6,8f40119f61a9d7274ce81dee660b80dc88b96a1156e48030123923857ca34da5,0,1606785230,exp_dgemm_uniform-product_7.csv,uniform product
