node,cpu,kind,expfile,exp_kind,start_time,value,subgroup
6,1,frequency,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,2.3254341338235385,
6,1,frequency,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,2.3470292819767464,
6,1,frequency,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,2.3636704896789147,
6,1,frequency,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,2.342903089359512,
6,1,frequency,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,2.3556192723624005,
6,1,frequency,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,2.328547640481664,
6,1,frequency,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,2.3334449868119336,
6,1,frequency,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,2.351476026342991,
6,1,frequency,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,2.3176124780927894,
6,1,frequency,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,2.3380712538659854,
6,1,temperature,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,63.4639175257732,
6,1,temperature,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,63.99033505154639,
6,1,temperature,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,61.69007731958763,
6,1,temperature,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,62.618382352941175,
6,1,temperature,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,63.446520618556704,
6,1,temperature,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,64.2139705882353,
6,1,temperature,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,62.749273255813954,
6,1,temperature,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,63.23337155963303,
6,1,temperature,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,64.01962809917356,
6,1,temperature,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,63.22591743119266,
6,1,temperature,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,63.44323394495413,
6,1,temperature,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,63.82855504587156,
6,1,temperature,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,63.15547520661157,
6,1,temperature,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,64.21005154639175,
6,1,temperature,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,60.67396907216495,
7,0,frequency,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,2.1820804291237095,
7,0,frequency,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,2.160139449097933,
7,0,frequency,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,2.217966574742272,
7,0,frequency,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,2.192619802941173,
7,0,frequency,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,2.1860012551546446,
7,0,frequency,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,2.1589945948529428,
7,0,frequency,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,2.1861050312499977,
7,0,frequency,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,2.1846856846330276,
7,0,frequency,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,2.1510555903925654,
7,0,frequency,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,2.1849139283256873,
7,0,frequency,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,2.1383511376146758,
7,0,frequency,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,2.1358457207568784,
7,0,frequency,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,2.1864150852272752,
7,0,frequency,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,2.127786698453605,
7,0,frequency,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,2.1820077403350493,
7,0,temperature,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,74.4207474226804,
7,0,temperature,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,75.24742268041237,
7,0,temperature,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,71.29961340206185,
7,0,temperature,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,72.19338235294117,
7,0,temperature,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,74.86340206185567,
7,0,temperature,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,75.00955882352942,
7,0,temperature,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,72.13444767441861,
7,0,temperature,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,74.52522935779817,
7,0,temperature,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,75.27944214876032,
7,0,temperature,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,74.6336009174312,
7,0,temperature,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,74.69036697247707,
7,0,temperature,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,75.14564220183486,
7,0,temperature,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,74.56456611570248,
7,0,temperature,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,75.25837628865979,
7,0,temperature,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,68.95811855670104,
7,1,frequency,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,2.4197471043814605,
7,1,frequency,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,2.3997023363402206,
7,1,frequency,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,2.428823748711359,
7,1,frequency,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,2.405905424264718,
7,1,frequency,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,2.4200920657216685,
7,1,frequency,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,2.388659150000012,
7,1,frequency,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,2.391382520348851,
7,1,frequency,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,2.412602104357817,
7,1,frequency,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,2.391161059917369,
7,1,frequency,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,2.415688791857816,
7,1,frequency,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,2.3783899822247774,
7,1,frequency,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,2.379320543004596,
7,1,frequency,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,2.4163233171487786,
7,1,frequency,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,2.377713313144333,
7,1,frequency,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,2.399924680412386,
