jobid,expfile,m,n,k,node,cpu,duration
1964858,exp_dgemm_independent-sizes_7.csv,1793,1198,4641,5,0,0.7752481999999999
1964858,exp_dgemm_independent-sizes_7.csv,4953,19,3693,5,0,0.07082622
1964858,exp_dgemm_independent-sizes_7.csv,5350,1614,872,5,0,0.5519377
1964858,exp_dgemm_independent-sizes_7.csv,188,5874,1015,5,0,0.09806181
1964858,exp_dgemm_independent-sizes_7.csv,30,4948,4268,5,0,0.1287467
1964858,exp_dgemm_independent-sizes_7.csv,1051,3156,2044,5,0,0.5206927
1964858,exp_dgemm_independent-sizes_7.csv,5307,3711,429,5,0,0.5982679
1964858,exp_dgemm_independent-sizes_7.csv,5011,5875,323,5,0,0.6760433000000001
1964858,exp_dgemm_independent-sizes_7.csv,6347,285,2849,5,0,0.4146218
1964858,exp_dgemm_independent-sizes_7.csv,1257,314,7047,5,0,0.22402670000000002
1964858,exp_dgemm_independent-sizes_7.csv,239,3784,6157,5,0,0.46003310000000003
1964858,exp_dgemm_independent-sizes_7.csv,85,2733,9025,5,0,0.2446757
1964858,exp_dgemm_independent-sizes_7.csv,6326,195,2270,5,0,0.23752060000000003
1964858,exp_dgemm_independent-sizes_7.csv,5436,1576,1167,5,0,0.7321839
1964858,exp_dgemm_independent-sizes_7.csv,240,1260,9620,5,0,0.24823379999999998
1964858,exp_dgemm_independent-sizes_7.csv,1572,120,3684,5,0,0.06085823
1964858,exp_dgemm_independent-sizes_7.csv,1376,1373,1405,5,0,0.202585
1964858,exp_dgemm_independent-sizes_7.csv,4940,384,3246,5,0,0.4848201
1964858,exp_dgemm_independent-sizes_7.csv,445,1171,1792,5,0,0.07624314
1964858,exp_dgemm_independent-sizes_7.csv,1176,4868,949,5,0,0.4099684
1964858,exp_dgemm_independent-sizes_7.csv,459,3087,5988,5,0,0.6877696
1964858,exp_dgemm_independent-sizes_7.csv,6044,235,1228,5,0,0.1441835
1964858,exp_dgemm_independent-sizes_7.csv,541,981,1282,5,0,0.05596844
1964858,exp_dgemm_independent-sizes_7.csv,673,2334,4384,5,0,0.5352110999999999
1964858,exp_dgemm_independent-sizes_7.csv,1355,886,3670,5,0,0.3457666
1964858,exp_dgemm_independent-sizes_7.csv,6445,832,1357,5,0,0.5456089
1964858,exp_dgemm_independent-sizes_7.csv,553,369,9898,5,0,0.17230079999999998
1964858,exp_dgemm_independent-sizes_7.csv,4550,1058,892,5,0,0.32024009999999997
1964858,exp_dgemm_independent-sizes_7.csv,5255,9483,19,5,0,0.10192689999999999
1964858,exp_dgemm_independent-sizes_7.csv,289,2261,2823,5,0,0.1548625
